date,ship,arrival,departure,cruiseline
2026-07-01,Silver Shadow,07:00,00:00,Silversea
2026-07-03,Explora I,08:00,22:00,Explora Journeys
2026-07-06,Celebrity Equinox,07:00,19:00,Celebrity Cruises
2026-07-10,Norwegian Epic,07:00,18:00,Norwegian Cruise Line
2026-07-11,SeaDream I,tbc,tbc,SeaDream Yacht Club
2026-07-13,Silver Shadow,07:00,19:00,Silversea
2026-07-13,Valiant Lady,08:00,tbc,Virgin Voyages
2026-07-14,Norwegian Epic,07:00,18:00,Norwegian Cruise Line
2026-07-16,Queen Victoria,tbc,tbc,Cunard Line
2026-07-18,Marella Discovery 2,08:00,18:00,Marella
2026-07-21,Marella Explorer,08:00,18:00,Marella
2026-07-22,Scarlet Lady,tbc,tbc,Virgin Voyages
2026-07-24,Norwegian Epic,07:00,18:00,Norwegian Cruise Line
2026-07-25,Silver Shadow,07:00,00:00,Silversea
2026-07-26,Celebrity Xcel,09:00,20:00,Celebrity Cruises
2026-07-27,Explora III,09:00,19:00,Explora Journeys
2026-07-28,Norwegian Epic,07:00,18:00,Norwegian Cruise Line
2026-07-30,Brilliance Of The Seas,07:00,19:00,Royal Caribbean
2026-07-31,Explora I,08:00,22:00,Explora Journeys
